what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1352588977421
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1352588977421
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1352588977421
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1352588977421
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1352588977436
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1352588977436
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1352588977436
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1352588977436
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1352588977436
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1352588977436
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352588977436
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1352588977436
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352588977436
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1352588977436
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1352588977436
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1352588977436
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1352588977436
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1352588977436
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1352588977436
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1352588977436
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1352588977436
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1352588977436
os,sysinfo,,,"win32",1352588977436
arch,sysinfo,,,"x86_64",1352588977436
ws,sysinfo,,,"win32",1352588977436
locale,sysinfo,,,"en_US",1352588977436
processors,sysinfo,,,"4",1352588977436
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352588977436
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1352588977436
java.specification.name,sysinfo,,,"Java Platform API Specification",1352588977436
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352588977436
java.specification.version,sysinfo,,,"1.6",1352588977436
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1352588977436
java.version,sysinfo,,,"1.6.0_25",1352588977436
java.vm.info,sysinfo,,,"mixed mode",1352588977436
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1352588977436
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352588977436
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352588977436
java.vm.specification.version,sysinfo,,,"1.0",1352588977436
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1352588977436
java.vm.version,sysinfo,,,"20.0-b11",1352588977436
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1352588977873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352588978638
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1352588992631
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1352588992631
